date,t,rh,sp,cc,ws,sr,st7,st28,st100,st255,sm7,sm28,sm100,sm255,tp,pev
2004-04-01,9.88249985,80.958714125,957.748820833333,35.3333333333333,9.9591118,9.9591118,247.625,9.32208326666667,8.56583325833333,7.607499825,7.52,0.3935,0.4095,0.416708333333333,0,2.909207294
2004-04-02,11.5470832166667,80.0342685416667,960.669267083333,60.1666666666667,11.3422662541667,11.3422662541667,201.875,10.8616665416667,9.42416660416667,7.82833332083333,7.52,0.387166666666667,0.39525,0.413333333333333,2.3,2.402278638
2004-04-03,11.0429166625,69.4708821666667,971.674565,43.125,7.13165768333333,7.13165768333333,248.166666666667,9.70958326666667,8.869999875,8.01374990416667,7.52,0.373375,0.385333333333333,0.410208333333333,0,3.3571398224
2004-04-04,11.8449999958333,76.9457752916667,973.221944166667,81.4166666666667,6.07784752083333,6.07784752083333,252.958333333333,10.6262499333333,9.34083327083333,8.15124995833333,7.52833328333333,0.358875,0.375208333333333,0.407,0,3.368934226
2004-04-05,13.2533335416667,79.6015044583333,969.962066666667,57.4583333333333,5.243751575,5.243751575,213.375,11.8949999375,10.3637499166667,8.39916660416667,7.5699997,0.348708333333333,0.3665,0.403916666666667,0,2.935831306
2004-04-06,10.6199999583333,90.5797703333333,963.74021875,100,5.12534960833333,5.12534960833333,77.8333333333333,10.4449999375,9.96999983333333,8.66375,7.57208304583333,0.356166666666667,0.361875,0.400958333333333,2.6,1.090711257
2004-04-07,9.74708322916667,90.9949799166667,961.466389583333,97.8333333333333,4.89766441666667,4.89766441666667,73.7083333333333,9.9449999375,9.20541658333333,8.724166625,7.62,0.373083333333333,0.363666666666667,0.398958333333333,5.1,1.018592069
2004-04-08,7.05958330833333,95.0068952916667,961.256472083333,99.7083333333333,4.87731190833333,4.87731190833333,39.625,8.27208321666667,8.37208322916667,8.69708329166667,7.6325,0.401125,0.375333333333333,0.398583333333333,8.6,0.573064273
2004-04-09,6.5470832875,85.7938772083333,957.391609166667,84.0416666666667,4.4878886625,4.4878886625,195.291666666667,7.79916663333333,7.62208320833333,8.50541658333333,7.67,0.405875,0.393625,0.398416666666667,7.4,2.1976950805
2004-04-10,5.72624991416667,82.4069375416667,959.000223333333,52.9166666666667,5.19487558333333,5.19487558333333,223.833333333333,6.8720832,6.882499925,8.25541660416667,7.67,0.410958333333333,0.408583333333333,0.400333333333333,6.6,2.530006376
2004-04-11,7.75541661916667,69.780443125,961.093012083333,52.3333333333333,6.1692631625,6.1692631625,242.958333333333,7.84916659166667,7.17208328333333,8.0200001,7.67,0.398,0.409125,0.402833333333333,0.4,3.037148854
2004-04-12,7.63874990833333,77.5037299166667,963.417535833333,70.2083333333333,5.61622869166667,5.61622869166667,172.875,7.58874992916667,7.17833319583333,7.89291670416667,7.67,0.401791666666667,0.401791666666667,0.402875,7.8,2.162310629
2004-04-13,8.6637499125,72.0736811666667,964.803065416667,50.5833333333333,6.8833464125,6.8833464125,246.166666666667,8.3304166125,7.40333325,7.763749925,7.68458333333333,0.39475,0.403916666666667,0.403,0.2,3.142045273
2004-04-14,8.6554166125,84.0199938333333,965.593515416667,63.6666666666667,5.98095762916667,5.98095762916667,176.583333333333,8.45333329583333,7.94708322083333,7.7762499625,7.71583333333333,0.397208333333333,0.397666666666667,0.402,7.5,1.990792776
2004-04-15,10.0512499791667,78.6771593333333,964.564315,58.9583333333333,9.8477465125,9.8477465125,215.25,9.45541656666667,8.12208327916667,7.8012498625,7.72,0.396125,0.399291666666667,0.401416666666667,1.1,2.6941848927
2004-04-16,9.913749875,97.1986461666667,953.22582875,99.8333333333333,16.5893697916667,16.5893697916667,23.1666666666667,9.62833316666667,8.83041658333333,7.9283334125,7.72,0.422375,0.421541666666667,0.411208333333333,53,0.371656088
2004-04-17,11.0679165208333,87.2126695833333,957.105075416667,95.75,8.30046235,8.30046235,81.8333333333333,10.37833325,9.051249875,8.06374979166667,7.72,0.411791666666667,0.423083333333333,0.423375,1.4,1.195018883
2004-04-18,11.3887499041667,76.98579475,949.909245,86.4583333333333,11.5463712916667,11.5463712916667,225.541666666667,11.1220832208333,9.54916654166667,8.21791660416667,7.72,0.395583333333333,0.404708333333333,0.422125,4.4,2.985960682
2004-04-19,10.1429167166667,70.9947909583333,952.163728333333,59.4166666666667,6.37838535833333,6.37838535833333,257.75,10.6199999166667,9.84708325,8.44291658333333,7.72,0.397375,0.398,0.418375,3.3,3.3393908315
2004-04-20,12.9325001958333,66.6618510833333,958.9395825,43.0416666666667,6.33792018333333,6.33792018333333,261.666666666667,11.3408332583333,9.726249875,8.59083329166667,7.76375,0.374375,0.386791666666667,0.415166666666667,0.7,3.7617094604
2004-04-21,14.1345834875,71.9380964583333,962.5350075,14.0833333333333,9.10129123333333,9.10129123333333,294.958333333333,12.6658332,10.95958325,8.81999979166667,7.77,0.357375,0.375125,0.411541666666667,0,4.1589434916
2004-04-22,11.7012499166667,76.981893,961.274518333333,84.375,7.03116552083333,7.03116552083333,145.333333333333,11.3949999375,10.9449999375,9.13458327083333,7.8012498125,0.353666666666667,0.366583333333333,0.408083333333333,2.9,2.02189890235
2004-04-23,13.8970834375,77.3636790833333,962.85699875,61.6666666666667,6.1947217375,6.1947217375,218.25,12.6970832916667,10.8491665416667,9.30333302083333,7.82833308333333,0.357958333333333,0.362708333333333,0.405,3,3.1299924968
2004-04-24,14.8283338958333,76.05617575,963.695725,14.4166666666667,4.76029937083333,4.76029937083333,266.666666666667,13.724166875,11.9449999375,9.55124989583333,7.87,0.346208333333333,0.357666666666667,0.402041666666667,0.3,3.837261999
2004-04-25,14.8700002291667,71.5383007083333,963.969564583333,19.875,6.47289675,6.47289675,291.5,13.8283334791667,12.48458325,9.89499989583333,7.91583333333333,0.330916666666667,0.350916666666667,0.398875,0,4.1354742658
2004-04-26,13.9345835416667,71.5202439583333,963.537490833333,60.6666666666667,8.51788527083333,8.51788527083333,228.083333333333,13.18875,12.382499875,10.1929166041667,7.9637502625,0.318458333333333,0.343333333333333,0.395291666666667,0,3.4001093456
2004-04-27,13.3158336041667,61.2342367083333,960.931506666667,44.6666666666667,9.6244434625,9.6244434625,290.166666666667,13.0325,12.4512499166667,10.41583325,8.01999955416667,0.307333333333333,0.336166666666667,0.391458333333333,0.6,4.1260603805
2004-04-28,12.0304165416667,75.9053439166667,955.762215833333,74.5833333333333,7.9587213875,7.9587213875,272.583333333333,12.4554165833333,11.6637499791667,10.5366663333333,8.08041666666667,0.307708333333333,0.330625,0.3875,3.4,3.419062779
2004-04-29,11.6408332083333,94.1533417083333,947.735931666667,93.375,8.709796475,8.709796475,78.125,12.0262498333333,11.5616665833333,10.5929166666667,8.13875,0.402333333333333,0.351208333333333,0.384625,19,1.092856416
2004-04-30,10.6387499458333,76.11492275,949.735683333333,26.9166666666667,8.56650155833333,8.56650155833333,239.208333333333,10.9137499375,10.719999875,10.5345830625,8.195,0.383625,0.375,0.382916666666667,3.3,2.934235328
2004-05-01,10.2658332583333,74.57022875,956.214707916667,78,8.0672092875,8.0672092875,224.833333333333,9.43458325833333,9.6804165625,10.3408331041667,8.249166375,0.36825,0.371291666666667,0.38075,1.3,2.79360473317
2004-05-02,11.4929165958333,81.8642546666667,955.311371666667,91.875,6.90691798333333,6.90691798333333,197.583333333333,10.7720832708333,9.98458316666667,10.1408333333333,8.29708310416667,0.364166666666667,0.3675,0.378958333333333,2.5,2.580456602
2004-05-03,10.9429166041667,93.036724375,946.76024875,99.875,19.4968648333333,19.4968648333333,50.625,10.9304165208333,10.4949998958333,10.0825,8.33458333333333,0.390416666666667,0.371708333333333,0.377333333333333,9.8,0.7408107655
