date,swt,v,lh,sh,strat,t,rh,sp,cc,ws,sr,st7,st28,st100,st255,sm7,sm28,sm100,sm255,tp,pev,q_gwlf,doc_gwlf,q_inca,doc_inca
2022-06-16,26.69474,94425572,-12.39721,-0.277133,0.162534,25.895,57.03299,967.9033,77.70833,5.513863,307.875,24.34083,23.22208,18.88458,13.29708,0.1832917,0.248125,0.3,0.337625,0.1,5.915258,12.7292,2.00923,6.308,2.025
2022-06-17,27.3153,94008572,-7.75949,-0.152979,0.153315,26.6075,54.20644,968.5908,62.95833,5.867931,300.75,25.08042,23.97208,19.31583,13.4325,0.178125,0.2448333,0.2993333,0.337,0.1,5.974104,12.5978,1.99827,6.32,2.02
2022-06-18,26.96707,93463572,-136.0471,-4.430405,0.142816,25.21167,56.67311,966.6906,10.08333,5.461482,335.6667,24.67,23.91792,19.71583,13.57625,0.1712083,0.241375,0.2982083,0.337,0,6.164802,12.4678,1.98963,6.217,2.017
2022-06-19,27.42534,92726572,-32.19485,-1.805059,0.133111,23.31583,65.67393,962.5119,3.5,6.056446,341.5,23.31583,22.9075,19.94917,13.72208,0.1649167,0.2379167,0.2958333,0.3365417,0,5.880449,12.3391,1.98285,5.988,1.999
2022-06-20,27.26064,92277572,-120.6782,-8.581472,0.146606,23.16792,73.66438,961.3015,56.79167,6.282652,319.1667,23.28458,22.0825,19.9825,13.87,0.165625,0.23525,0.2952083,0.336,0,5.349851,12.2118,1.97759,5.725,1.971
2022-06-21,27.05293,91709572,-154.6275,-10.32996,0.136421,23.5075,72.93485,960.7454,75.08333,7.580841,258.25,23.68458,22.61375,20.01792,14.01583,0.1806667,0.2375,0.29875,0.336,9.9,4.553817,12.0943,1.97215,5.663,1.984
2022-06-22,26.4273,91266572,-194.7593,-19.22071,0.126068,21.7075,85.27059,960.0295,43.83333,7.626009,254.0833,22.52833,22.2825,20.08042,14.15958,0.33625,0.2445833,0.30025,0.336,8,4.069559,11.9675,1.96942,5.922,2.076
2022-06-23,25.53243,90985572,-335.7888,-26.57526,0.179886,21.81792,74.60054,960.9272,26.08333,9.469927,295.4583,21.62833,21.29292,20.00542,14.29917,0.313875,0.2515833,0.298125,0.336,1.1,5.020862,11.8375,1.96824,6.031,2.176
2022-06-24,25.97749,90945572,-7.276982,-0.529251,0.130158,21.97,65.94864,962.3828,21.54167,7.582152,314.75,21.59917,21.1575,19.87208,14.42833,0.2819583,0.2522917,0.2965833,0.335,0.1,5.547411,11.7153,1.96663,5.918,2.201
2022-06-25,25.95012,91025572,-95.25384,-7.821982,0.163544,21.29083,72.73939,961.1097,24.58333,6.773426,328.0833,21.13667,20.72208,19.72208,14.56167,0.25725,0.2505,0.2953333,0.335,0.8,5.342814,11.5944,1.96555,5.72,2.182
2022-06-26,25.59984,91065572,-214.5289,-16.38027,0.159835,22.65333,75.8003,960.5928,53.66667,7.720023,286.7083,22.39083,21.4075,19.65333,14.67833,0.2479583,0.2492083,0.293875,0.335,0.2,4.820903,11.4747,1.9649,5.493,2.159
2022-06-27,25.8797,91185572,-27.8727,-2.510938,0.156685,22.17625,69.90239,963.8326,40.5,5.421344,276.7917,22.32625,21.77208,19.68667,14.79708,0.237125,0.246625,0.2925,0.3345833,4.7,4.867476,12.1105,2.17162,5.738,2.244
2022-06-28,26.11299,90865572,-37.29322,-3.298856,0.153633,21.44708,74.04466,965.0872,44.29167,6.435266,297.5833,21.76583,21.30958,19.71375,14.91583,0.2704167,0.2451667,0.289875,0.334,0.8,4.927228,11.7934,2.14137,5.829,2.381
2022-06-29,25.67845,89831572,-224.7659,-15.49397,0.147472,22.06375,69.89559,963.4304,8.041667,7.797721,324.9167,21.38042,20.99292,19.65958,15.02625,0.2454167,0.2415833,0.2866667,0.334,0,5.515015,11.5162,2.11704,5.719,2.395
2022-06-30,25.8036,89277572,-104.1641,-7.782659,0.137686,22.08875,64.92873,962.0291,66.25,7.270814,304.2083,21.67625,21.095,19.61583,15.1325,0.2256667,0.2382083,0.28475,0.334,0,5.276343,11.2733,2.09729,5.608,2.353
2022-07-01,26.05549,88805572,-34.73207,-2.773092,0.131571,20.94708,65.19776,966.6523,21,5.806597,292.4167,21.35333,21.09917,19.6075,15.23875,0.20775,0.2344583,0.2822917,0.3332917,0.1,4.872549,11.0593,2.08115,5.811,2.327
2022-07-02,26.06383,88844572,-110.3676,-7.010149,0.138961,22.18458,62.02882,968.5472,26.70833,5.922513,335.4583,21.48667,20.82208,19.55333,15.34083,0.1896667,0.2290417,0.2784167,0.333,0,5.796786,10.8639,2.06891,5.846,2.328
2022-07-03,26.35093,88530572,-84.01562,-3.607893,0.135763,23.74917,56.39049,967.5452,50.83333,5.910568,324.5417,22.85333,21.6575,19.57208,15.43875,0.173625,0.2237083,0.275,0.333,0,5.924914,10.6818,2.06022,5.71,2.295
2022-07-04,26.87773,88216572,-19.66051,-0.741398,0.130751,24.56583,56.85986,966.4802,16.75,6.662032,329.0833,23.72,22.58667,19.75125,15.53667,0.1600417,0.219125,0.2725417,0.3323333,0,6.136946,10.5608,2.04469,5.461,2.249
